Character,Word,Count
MICHAEL,steering,2
MICHAEL,finding,1
MICHAEL,absolutely,2
MICHAEL,guarantees,1
MICHAEL,chuckles,1
MICHAEL,doubles,1
MICHAEL,pain,1
MICHAEL,fruit,3
MICHAEL,bottles,1
MICHAEL,caves,1
MICHAEL,else,5
MICHAEL,tomorrow,4
MICHAEL,cramps,1
MICHAEL,quieting,1
MICHAEL,breathe,1
MICHAEL,kiss,1
MICHAEL,somebody,2
MICHAEL,sawyer,23
MICHAEL,feeling,3
MICHAEL,guilty,2
MICHAEL,ended,1
MICHAEL,minute,5
MICHAEL,decided,1
MICHAEL,poison,1
MICHAEL,stealing,1
MICHAEL,dead,1
MICHAEL,keeping,1
MICHAEL,using,1
MICHAEL,buy,2
MICHAEL,favors,1
MICHAEL,liar,1
MICHAEL,criminal,1
MICHAEL,letting,1
MICHAEL,alone,3
MICHAEL,passport,1
MICHAEL,yep,1
MICHAEL,feet,2
MICHAEL,even,9
MICHAEL,sleep,2
MICHAEL,least,4
MICHAEL,turn,4
MICHAEL,follows,1
MICHAEL,hotel,1
MICHAEL,hallway,1
MICHAEL,today,2
MICHAEL,realistically,1
MICHAEL,rudder,6
MICHAEL,lay,1
MICHAEL,rails,2
MICHAEL,manpower,1
MICHAEL,shortage,1
MICHAEL,leverage,1
MICHAEL,under,2
MICHAEL,count,1
MICHAEL,1,4
MICHAEL,lift,3
MICHAEL,push,7
MICHAEL,once,1
MICHAEL,drop,1
MICHAEL,ready,2
MICHAEL,levers,2
MICHAEL,believe,6
MICHAEL,dirty,2
MICHAEL,lever,1
MICHAEL,couldn't,4
MICHAEL,straight,1
MICHAEL,everybody's,1
MICHAEL,cable,1
MICHAEL,fix,1
MICHAEL,careful,1
MICHAEL,goes,4
MICHAEL,big,2
MICHAEL,discovered,1
MICHAEL,resort,1
MICHAEL,goodbye,1
MICHAEL,forever,1
MICHAEL,singing,1
MICHAEL,bob,2
MICHAEL,marley,2
MICHAEL,transmitter,1
MICHAEL,sends,1
MICHAEL,someone's,1
MICHAEL,listening,2
MICHAEL,radar,2
MICHAEL,screen,2
MICHAEL,someone,1
MICHAEL,respond,1
MICHAEL,guess,8
MICHAEL,dogs,1
MICHAEL,fly,3
MICHAEL,luggage,1
MICHAEL,compartment,1
MICHAEL,studio,1
MICHAEL,apartment,1
MICHAEL,morning,1
MICHAEL,5am,1
MICHAEL,ma,4
MICHAEL,question,2
MICHAEL,money,2
MICHAEL,wheelchair,1
MICHAEL,plan,2
MICHAEL,hangs,1
MICHAEL,turns,2
MICHAEL,discover,1
MICHAEL,drive,2
MICHAEL,most,2
MICHAEL,important,1
MICHAEL,steer,1
MICHAEL,gradually,1
MICHAEL,nothing,6
MICHAEL,sharp,2
MICHAEL,compass,1
MICHAEL,approximately,1
MICHAEL,north,4
MICHAEL,northeast,1
MICHAEL,hopefully,1
MICHAEL,puts,3
MICHAEL,shipping,1
MICHAEL,lane,1
MICHAEL,land,1
MICHAEL,cloud,1
MICHAEL,horizon,1
MICHAEL,aim,1
MICHAEL,interests,1
MICHAEL,directions,1
MICHAEL,log,1
MICHAEL,losing,1
MICHAEL,sinking,1
MICHAEL,sail,1
MICHAEL,rope,1
MICHAEL,pulling,2
MICHAEL,saved,1
MICHAEL,asses,1
MICHAEL,bit,1
MICHAEL,here's,1
MICHAEL,shirt,1
MICHAEL,wife,4
MICHAEL,sounded,1
MICHAEL,wish,1
MICHAEL,words,2
MICHAEL,lucky,1
MICHAEL,indicates,1
MICHAEL,fixed,2
MICHAEL,business,1
MICHAEL,alrighty,1
MICHAEL,grabs,1
MICHAEL,turned,1
MICHAEL,15,1
MICHAEL,miles,1
MICHAEL,battery,4
MICHAEL,runs,3
MICHAEL,5,4
MICHAEL,minutes,4
MICHAEL,cares,1
MICHAEL,risk,1
MICHAEL,save,4
MICHAEL,everyone,4
MICHAEL,choices,1
MICHAEL,hero,1
MICHAEL,something's,1
MICHAEL,sec,1
MICHAEL,flare,3
MICHAEL,port,2
MICHAEL,floating,1
MICHAEL,junk,1
MICHAEL,sayid's,1
MICHAEL,works,1
MICHAEL,shoot,4
MICHAEL,flight,1
MICHAEL,815,1
MICHAEL,group,1
MICHAEL,hell's,2
MICHAEL,waaaaaaaaaaalt,1
MICHAEL,waaaahahahaaalt,1
MICHAEL,she's,5
MICHAEL,ex,1
MICHAEL,rome,1
MICHAEL,boyfriend,1
MICHAEL,dawson,1
MICHAEL,coughs,1
MICHAEL,sense,1
MICHAEL,energy,1
MICHAEL,managed,1
MICHAEL,referring,1
MICHAEL,sawyer's,3
MICHAEL,gun,7
MICHAEL,ain't,2
MICHAEL,shark,2
MICHAEL,feel,3
MICHAEL,shoulder,1
MICHAEL,own,1
MICHAEL,incon,1
MICHAEL,though,1
MICHAEL,ask,3
MICHAEL,michael's,1
MICHAEL,attorney,1
MICHAEL,interrupts,1
MICHAEL,whispers,2
MICHAEL,crazy,3
MICHAEL,bullet,1
MICHAEL,bare,1
MICHAEL,same,2
MICHAEL,current,1
MICHAEL,fault,3
MICHAEL,ever,4
MICHAEL,shut,3
MICHAEL,care,6
MICHAEL,lawyers,2
MICHAEL,checking,1
MICHAEL,responsibility,1
MICHAEL,paddling,3
MICHAEL,strain,1
MICHAEL,binds,1
MICHAEL,keeps,1
MICHAEL,starts,1
MICHAEL,pontoon,1
MICHAEL,stuffed,1
MICHAEL,bear,1
MICHAEL,kneeling,1
MICHAEL,mommy,1
MICHAEL,real,2
MICHAEL,always,2
MICHAEL,sometime,1
MICHAEL,bye,1
MICHAEL,brought,1
MICHAEL,blindfolded,1
MICHAEL,girl,1
MICHAEL,los,1
MICHAEL,angeles,1
MICHAEL,mid,1
MICHAEL,air,2
MICHAEL,yelling,1
MICHAEL,spend,1
MICHAEL,friends,3
